frame_index,epoch_ms,timestamp_iso_utc7
0,1765489092212,2025-12-12T04:38:12.212+07:00
1,1765489092309,2025-12-12T04:38:12.309+07:00
2,1765489092406,2025-12-12T04:38:12.406+07:00
3,1765489092502,2025-12-12T04:38:12.502+07:00
4,1765489092601,2025-12-12T04:38:12.601+07:00
5,1765489093228,2025-12-12T04:38:13.228+07:00
6,1765489093329,2025-12-12T04:38:13.329+07:00
7,1765489093443,2025-12-12T04:38:13.443+07:00
8,1765489093549,2025-12-12T04:38:13.549+07:00
9,1765489093666,2025-12-12T04:38:13.666+07:00
10,1765489093772,2025-12-12T04:38:13.772+07:00
11,1765489093879,2025-12-12T04:38:13.879+07:00
12,1765489093983,2025-12-12T04:38:13.983+07:00
13,1765489094094,2025-12-12T04:38:14.094+07:00
14,1765489094205,2025-12-12T04:38:14.205+07:00
15,1765489094308,2025-12-12T04:38:14.308+07:00
16,1765489094427,2025-12-12T04:38:14.427+07:00
17,1765489094543,2025-12-12T04:38:14.543+07:00
18,1765489094655,2025-12-12T04:38:14.655+07:00
19,1765489094765,2025-12-12T04:38:14.765+07:00
20,1765489094869,2025-12-12T04:38:14.869+07:00
21,1765489094983,2025-12-12T04:38:14.983+07:00
22,1765489095101,2025-12-12T04:38:15.101+07:00
23,1765489095208,2025-12-12T04:38:15.208+07:00
24,1765489095318,2025-12-12T04:38:15.318+07:00
25,1765489095444,2025-12-12T04:38:15.444+07:00
26,1765489095560,2025-12-12T04:38:15.560+07:00
27,1765489095672,2025-12-12T04:38:15.672+07:00
28,1765489095784,2025-12-12T04:38:15.784+07:00
29,1765489095897,2025-12-12T04:38:15.897+07:00
30,1765489096002,2025-12-12T04:38:16.002+07:00
31,1765489096115,2025-12-12T04:38:16.115+07:00
32,1765489096227,2025-12-12T04:38:16.227+07:00
33,1765489096351,2025-12-12T04:38:16.351+07:00
34,1765489096473,2025-12-12T04:38:16.473+07:00
35,1765489096577,2025-12-12T04:38:16.577+07:00
36,1765489096686,2025-12-12T04:38:16.686+07:00
37,1765489096808,2025-12-12T04:38:16.808+07:00
38,1765489096925,2025-12-12T04:38:16.925+07:00
39,1765489097037,2025-12-12T04:38:17.037+07:00
40,1765489097156,2025-12-12T04:38:17.156+07:00
41,1765489097280,2025-12-12T04:38:17.280+07:00
42,1765489097392,2025-12-12T04:38:17.392+07:00
43,1765489097507,2025-12-12T04:38:17.507+07:00
44,1765489097615,2025-12-12T04:38:17.615+07:00
45,1765489097731,2025-12-12T04:38:17.731+07:00
46,1765489097850,2025-12-12T04:38:17.850+07:00
47,1765489097965,2025-12-12T04:38:17.965+07:00
48,1765489098077,2025-12-12T04:38:18.077+07:00
49,1765489098195,2025-12-12T04:38:18.195+07:00
50,1765489098310,2025-12-12T04:38:18.310+07:00
51,1765489098418,2025-12-12T04:38:18.418+07:00
52,1765489098532,2025-12-12T04:38:18.532+07:00
53,1765489098653,2025-12-12T04:38:18.653+07:00
54,1765489098769,2025-12-12T04:38:18.769+07:00
55,1765489098881,2025-12-12T04:38:18.881+07:00
56,1765489098990,2025-12-12T04:38:18.990+07:00
57,1765489099111,2025-12-12T04:38:19.111+07:00
58,1765489099225,2025-12-12T04:38:19.225+07:00
59,1765489099343,2025-12-12T04:38:19.343+07:00
60,1765489099459,2025-12-12T04:38:19.459+07:00
61,1765489099575,2025-12-12T04:38:19.575+07:00
62,1765489099682,2025-12-12T04:38:19.682+07:00
63,1765489099789,2025-12-12T04:38:19.789+07:00
64,1765489099907,2025-12-12T04:38:19.907+07:00
65,1765489100023,2025-12-12T04:38:20.023+07:00
66,1765489100136,2025-12-12T04:38:20.136+07:00
67,1765489100257,2025-12-12T04:38:20.257+07:00
68,1765489100373,2025-12-12T04:38:20.373+07:00
69,1765489100492,2025-12-12T04:38:20.492+07:00
70,1765489100613,2025-12-12T04:38:20.613+07:00
71,1765489100731,2025-12-12T04:38:20.731+07:00
72,1765489100843,2025-12-12T04:38:20.843+07:00
73,1765489100970,2025-12-12T04:38:20.970+07:00
74,1765489101090,2025-12-12T04:38:21.090+07:00
75,1765489101205,2025-12-12T04:38:21.205+07:00
76,1765489101326,2025-12-12T04:38:21.326+07:00
77,1765489101443,2025-12-12T04:38:21.443+07:00
78,1765489101558,2025-12-12T04:38:21.558+07:00
79,1765489101674,2025-12-12T04:38:21.674+07:00
80,1765489101786,2025-12-12T04:38:21.786+07:00
81,1765489101915,2025-12-12T04:38:21.915+07:00
82,1765489102028,2025-12-12T04:38:22.028+07:00
83,1765489102148,2025-12-12T04:38:22.148+07:00
