frame_index,epoch_ms,timestamp_iso_utc7
117,1765487451617,2025-12-12T04:10:51.617+07:00
118,1765487451705,2025-12-12T04:10:51.705+07:00
119,1765487451796,2025-12-12T04:10:51.796+07:00
120,1765487451880,2025-12-12T04:10:51.880+07:00
121,1765487451970,2025-12-12T04:10:51.970+07:00
122,1765487452055,2025-12-12T04:10:52.055+07:00
123,1765487452146,2025-12-12T04:10:52.146+07:00
124,1765487452233,2025-12-12T04:10:52.233+07:00
125,1765487452328,2025-12-12T04:10:52.328+07:00
126,1765487452407,2025-12-12T04:10:52.407+07:00
127,1765487452485,2025-12-12T04:10:52.485+07:00
128,1765487452571,2025-12-12T04:10:52.571+07:00
129,1765487452663,2025-12-12T04:10:52.663+07:00
130,1765487452751,2025-12-12T04:10:52.751+07:00
131,1765487452835,2025-12-12T04:10:52.835+07:00
132,1765487452917,2025-12-12T04:10:52.917+07:00
133,1765487453005,2025-12-12T04:10:53.005+07:00
134,1765487453090,2025-12-12T04:10:53.090+07:00
135,1765487453169,2025-12-12T04:10:53.169+07:00
136,1765487453261,2025-12-12T04:10:53.261+07:00
137,1765487453353,2025-12-12T04:10:53.353+07:00
138,1765487453430,2025-12-12T04:10:53.430+07:00
139,1765487453517,2025-12-12T04:10:53.517+07:00
140,1765487453610,2025-12-12T04:10:53.610+07:00
141,1765487453703,2025-12-12T04:10:53.703+07:00
142,1765487453783,2025-12-12T04:10:53.783+07:00
143,1765487453872,2025-12-12T04:10:53.872+07:00
144,1765487453956,2025-12-12T04:10:53.956+07:00
145,1765487454044,2025-12-12T04:10:54.044+07:00
146,1765487454130,2025-12-12T04:10:54.130+07:00
147,1765487454218,2025-12-12T04:10:54.218+07:00
148,1765487454309,2025-12-12T04:10:54.309+07:00
149,1765487454394,2025-12-12T04:10:54.394+07:00
150,1765487454482,2025-12-12T04:10:54.482+07:00
151,1765487454570,2025-12-12T04:10:54.570+07:00
152,1765487454649,2025-12-12T04:10:54.649+07:00
153,1765487454745,2025-12-12T04:10:54.745+07:00
154,1765487454843,2025-12-12T04:10:54.843+07:00
155,1765487454938,2025-12-12T04:10:54.938+07:00
156,1765487455030,2025-12-12T04:10:55.030+07:00
157,1765487455129,2025-12-12T04:10:55.129+07:00
158,1765487455227,2025-12-12T04:10:55.227+07:00
159,1765487455320,2025-12-12T04:10:55.320+07:00
160,1765487455417,2025-12-12T04:10:55.417+07:00
161,1765487455511,2025-12-12T04:10:55.511+07:00
162,1765487455590,2025-12-12T04:10:55.590+07:00
163,1765487455682,2025-12-12T04:10:55.682+07:00
164,1765487455771,2025-12-12T04:10:55.771+07:00
165,1765487455858,2025-12-12T04:10:55.858+07:00
166,1765487455948,2025-12-12T04:10:55.948+07:00
167,1765487456031,2025-12-12T04:10:56.031+07:00
168,1765487456110,2025-12-12T04:10:56.110+07:00
169,1765487456204,2025-12-12T04:10:56.204+07:00
170,1765487456290,2025-12-12T04:10:56.290+07:00
171,1765487456368,2025-12-12T04:10:56.368+07:00
172,1765487456455,2025-12-12T04:10:56.455+07:00
173,1765487456548,2025-12-12T04:10:56.548+07:00
174,1765487456629,2025-12-12T04:10:56.629+07:00
175,1765487456708,2025-12-12T04:10:56.708+07:00
176,1765487456793,2025-12-12T04:10:56.793+07:00
177,1765487456885,2025-12-12T04:10:56.885+07:00
